"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US21047","Christian County, Kentucky","9232","null","1457","null","23321","2316","null","null","36027","2258","null","null","54256","null","4508","null","118412","11186","null","null","190903","null","31376","null",
"0500000US21059","Daviess County, Kentucky","10740","null","1824","null","26986","2124","null","null","42379","3111","null","null","68667","null","4740","null","134210","10202","null","null","209526","null","24637","null",
"0500000US21067","Fayette County, Kentucky","9569","null","1019","null","26630","1435","null","null","47824","2414","null","null","77230","null","2664","null","178324","10724","null","null","320771","null","33261","null",
"0500000US21093","Hardin County, Kentucky","13289","null","2314","null","31675","2658","null","null","50813","3901","null","null","77257","null","5158","null","140446","16451","null","null","220120","null","54420","null",
"0500000US21111","Jefferson County, Kentucky","10497","null","601","null","28472","1064","null","null","48213","1230","null","null","76368","null","1704","null","180309","6683","null","null","324498","null","21354","null",
"0500000US21117","Kenton County, Kentucky","12294","null","1525","null","31283","2604","null","null","54178","3684","null","null","82335","null","3843","null","172153","11780","null","null","298377","null","36895","null",
"0500000US21145","McCracken County, Kentucky","7601","null","1684","null","20638","2373","null","null","36761","4614","null","null","66510","null","7215","null","143700","21114","null","null","246122","null","71175","null",
"0500000US21151","Madison County, Kentucky","9096","null","1479","null","22974","2856","null","null","44236","4410","null","null","72168","null","5047","null","136434","8142","null","null","197138","null","20215","null",
"0500000US21195","Pike County, Kentucky","6065","null","1186","null","17929","2691","null","null","31815","3303","null","null","51341","null","4426","null","126517","18402","null","null","230186","null","52219","null",
"0500000US21227","Warren County, Kentucky","10200","null","1976","null","29385","2833","null","null","50217","3221","null","null","73490","null","4093","null","142428","16468","null","null","241595","null","59212","null",
"0500000US22005","Ascension Parish, Louisiana","11284","null","2864","null","38394","6593","null","null","67377","6083","null","null","100811","null","7321","null","173202","12318","null","null","247216","null","25679","null",
"0500000US22015","Bossier Parish, Louisiana","13940","null","1921","null","32497","2738","null","null","51120","3599","null","null","78841","null","5558","null","144293","9957","null","null","214396","null","21930","null",
"0500000US22017","Caddo Parish, Louisiana","6505","null","1105","null","20879","1887","null","null","38998","2474","null","null","64684","null","3277","null","168996","19612","null","null","323056","null","67333","null",
"0500000US22019","Calcasieu Parish, Louisiana","9589","null","1272","null","25499","2049","null","null","45377","3433","null","null","72785","null","4398","null","143349","8290","null","null","210048","null","16203","null",
"0500000US22033","East Baton Rouge Parish, Louisiana","9521","null","1008","null","27089","1397","null","null","47500","2445","null","null","80189","null","3554","null","181387","9829","null","null","314636","null","26675","null",
"0500000US22045","Iberia Parish, Louisiana","11607","null","1889","null","27786","3705","null","null","45929","3543","null","null","75398","null","9384","null","168012","35617","null","null","299444","null","124116","null",
"0500000US22051","Jefferson Parish, Louisiana","10721","null","766","null","28182","1352","null","null","47277","2112","null","null","77195","null","2713","null","173006","8295","null","null","308478","null","27737","null",
"0500000US22055","Lafayette Parish, Louisiana","12216","null","1345","null","30391","2514","null","null","51247","3327","null","null","85497","null","6200","null","195930","17395","null","null","341833","null","52008","null",
"0500000US22057","Lafourche Parish, Louisiana","9546","null","1823","null","25809","2124","null","null","42959","4171","null","null","74833","null","5789","null","147253","11398","null","null","227946","null","26150","null",
"0500000US22063","Livingston Parish, Louisiana","14113","null","2601","null","37276","5061","null","null","60000","4926","null","null","88964","null","7533","null","162176","14835","null","null","248734","null","44766","null",
"0500000US22071","Orleans Parish, Louisiana","5630","null","517","null","18596","1065","null","null","35891","1598","null","null","65944","null","2552","null","200634","16215","null","null","413426","null","55216","null",
"0500000US22073","Ouachita Parish, Louisiana","8304","null","1142","null","21898","1996","null","null","40691","3217","null","null","67180","null","4638","null","151746","12426","null","null","240460","null","28034","null",
"0500000US22079","Rapides Parish, Louisiana","10292","null","1383","null","23442","2217","null","null","40480","3960","null","null","68353","null","5930","null","137821","16533","null","null","225708","null","56979","null",
"0500000US22097","St. Landry Parish, Louisiana","6924","null","927","null","15681","1535","null","null","28163","2822","null","null","49542","null","5273","null","117610","14810","null","null","190607","null","45611","null",
"0500000US22103","St. Tammany Parish, Louisiana","16084","null","1532","null","38605","2739","null","null","62993","3026","null","null","96120","null","4409","null","205132","18896","null","null","375038","null","57482","null",
"0500000US22105","Tangipahoa Parish, Louisiana","9205","null","1956","null","24359","3436","null","null","41634","3755","null","null","68049","null","5584","null","135876","15331","null","null","206467","null","39978","null",
"0500000US22109","Terrebonne Parish, Louisiana","11077","null","2694","null","28677","2983","null","null","46972","4632","null","null","79007","null","7357","null","150668","13557","null","null","232009","null","38223","null",
"0500000US23001","Androscoggin County, Maine","10703","null","1358","null","27507","3088","null","null","47910","3740","null","null","73738","null","4161","null","130537","8008","null","null","188718","null","19187","null",
"0500000US23003","Aroostook County, Maine","8847","null","1056","null","20869","1654","null","null","35443","2072","null","null","55221","null","3084","null","111706","11508","null","null","183375","null","33873","null",
"0500000US23005","Cumberland County, Maine","13702","null","1332","null","37646","2024","null","null","62404","2441","null","null","97467","null","3932","null","216329","18506","null","null","395108","null","60496","null",
"0500000US23011","Kennebec County, Maine","12171","null","1565","null","28384","2192","null","null","44681","3967","null","null","70883","null","4808","null","134713","8799","null","null","208425","null","26534","null",
"0500000US23019","Penobscot County, Maine","8903","null","1209","null","23730","1810","null","null","42067","2551","null","null","69190","null","3856","null","133962","9054","null","null","207311","null","20643","null",
"0500000US23031","York County, Maine","14313","null","1265","null","35723","2624","null","null","56915","2651","null","null","85417","null","3156","null","176641","18219","null","null","324252","null","61719","null",
"0500000US24001","Allegany County, Maryland","8968","null","1819","null","24581","3174","null","null","39982","3028","null","null","64887","null","4910","null","132689","14888","null","null","215982","null","52407","null",
"0500000US24003","Anne Arundel County, Maryland","23700","null","1904","null","57028","1993","null","null","87988","2688","null","null","129518","null","3362","null","244089","12903","null","null","404517","null","42396","null",
"0500000US24005","Baltimore County, Maryland","16743","null","968","null","42299","1314","null","null","68763","1784","null","null","104803","null","2201","null","220095","8868","null","null","385445","null","28263","null",
"0500000US24009","Calvert County, Maryland","21415","null","5058","null","61458","5770","null","null","93527","6625","null","null","131546","null","5511","null","228611","22714","null","null","364342","null","69276","null",
"0500000US24013","Carroll County, Maryland","22335","null","2256","null","53681","3263","null","null","85323","4343","null","null","126911","null","6290","null","230479","26165","null","null","372217","null","90346","null",
"0500000US24015","Cecil County, Maryland","14619","null","2276","null","38740","4512","null","null","62444","3622","null","null","93006","null","6458","null","159544","11317","null","null","227227","null","23653","null",
"0500000US24017","Charles County, Maryland","22000","null","3188","null","54989","4793","null","null","88338","4906","null","null","125379","null","6175","null","211529","11858","null","null","291396","null","22396","null",
"0500000US24021","Frederick County, Maryland","21448","null","2232","null","53010","3061","null","null","83878","3241","null","null","120727","null","3412","null","214543","11078","null","null","323359","null","31842","null",
"0500000US24025","Harford County, Maryland","17700","null","1726","null","48543","2814","null","null","80301","3238","null","null","115467","null","3959","null","215190","10309","null","null","327656","null","28119","null",
