"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"    Estimate","744,203","368,624","38,289","0","206","38,083","47,401","1,095","10,490","35,816","48,610","8,499","19,164","20,947","75,972","36,802","28,215","10,955","155,460","123,133","27,343","4,984","2,892","375,579","83,799","21,824","21,448","40,527","79,795","57,651","16,448","5,696","57,295","53,911","2,827","557","62,002","61,214","708","80","84,040","83,934","106","0","8,648"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,570,137","978,669","53,119","37","811","52,271","96,923","3,277","21,593","72,053","124,989","21,364","49,147","54,478","204,334","82,703","86,623","35,008","495,158","383,121","94,581","17,456","4,146","591,468","99,129","21,139","25,982","52,008","121,386","77,624","31,524","12,238","94,854","86,199","6,917","1,738","113,839","110,869","2,412","558","153,971","153,550","398","23","8,289"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","276,490","156,863","9,692","37","59","9,596","16,401","706","2,707","12,988","18,108","1,178","6,686","10,244","36,438","9,486","16,881","10,071","75,328","53,439","18,628","3,261","896","119,627","20,835","4,737","4,875","11,223","24,285","16,015","5,637","2,633","18,803","17,501","1,063","239","23,935","23,408","275","252","30,391","30,295","96","0","1,378"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","490,394","302,527","12,406","35","197","12,174","23,129","735","3,654","18,740","33,835","4,037","14,716","15,082","64,306","23,310","30,548","10,448","167,359","126,875","35,362","5,122","1,492","187,867","27,504","4,763","6,075","16,666","32,189","18,516","9,288","4,385","28,857","24,729","3,379","749","36,246","35,091","889","266","61,402","60,908","308","186","1,669"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","562,960","383,713","19,656","64","170","19,422","32,960","778","2,829","29,353","49,081","4,023","15,387","29,671","81,560","19,430","38,567","23,563","198,155","133,525","52,304","12,326","2,301","179,247","26,978","5,149","6,103","15,726","33,747","22,804","7,026","3,917","25,931","23,413","1,928","590","32,977","32,299","601","77","57,298","56,803","317","178","2,316"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","366,739","245,829","7,871","0","0","7,871","13,255","87","927","12,241","19,674","1,287","3,484","14,903","39,587","3,599","16,128","19,860","164,975","87,413","59,737","17,825","467","120,910","13,659","306","1,349","12,004","18,865","2,992","5,559","10,314","18,137","8,374","7,233","2,530","22,715","17,389","4,975","351","46,358","45,145","1,129","84","1,176"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,009,034","1,355,695","45,619","0","45","45,574","70,500","206","1,735","68,559","93,596","1,070","6,617","85,909","187,142","8,671","41,114","137,357","952,603","424,547","334,015","194,041","6,235","653,339","72,140","2,284","2,246","67,610","93,445","9,813","17,626","66,006","79,966","19,865","32,169","27,932","109,352","62,696","37,091","9,565","291,565","271,409","17,423","2,733","6,871"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","513,843","287,452","23,780","24","156","23,600","35,597","1,302","4,298","29,997","34,845","4,990","12,423","17,432","57,444","19,373","25,630","12,441","132,306","100,355","26,678","5,273","3,480","226,391","49,941","16,368","10,772","22,801","47,169","36,733","7,780","2,656","29,756","27,950","1,555","251","38,130","37,589","511","30","56,056","55,974","82","0","5,339"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,838,902","2,384,448","100,335","179","441","99,715","152,132","2,814","13,248","136,070","197,683","15,881","44,793","137,009","390,647","86,321","114,642","189,684","1,533,754","795,151","444,069","294,534","9,897","1,454,454","170,662","18,590","20,406","131,666","222,600","75,271","56,136","91,193","193,010","110,721","42,692","39,597","259,264","191,774","44,793","22,697","592,571","555,593","30,474","6,504","16,347"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,455,141","1,565,959","98,575","106","1,519","96,950","169,251","6,660","25,684","136,907","200,618","27,602","79,983","93,033","321,928","115,709","139,392","66,827","765,120","579,261","152,472","33,387","10,467","889,182","180,251","37,781","46,236","96,234","183,942","130,448","39,230","14,264","140,529","128,583","9,817","2,129","152,884","149,580","2,985","319","217,132","216,060","814","258","14,444"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","193,342","101,178","3,373","0","63","3,310","5,672","198","1,215","4,259","9,452","1,101","3,748","4,603","18,669","7,472","8,313","2,884","63,796","49,895","12,428","1,473","216","92,164","11,180","1,982","2,789","6,409","14,137","9,191","3,601","1,345","12,877","11,485","1,104","288","17,042","16,883","159","0","36,085","35,967","118","0","843"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
