"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US36091","Saratoga County, New York","21370","2133","null","null","50287","2423","null","null","75952","null","2996","null","107864","null","4338","null","193299","10118","null","null","286317","27813","null","null",
"0500000US36093","Schenectady County, New York","15051","1652","null","null","38028","2786","null","null","61464","null","4272","null","93685","null","4521","null","186678","16979","null","null","307164","59153","null","null",
"0500000US36101","Steuben County, New York","10924","1323","null","null","27883","2089","null","null","47275","null","2679","null","74972","null","4362","null","166761","20978","null","null","317711","70590","null","null",
"0500000US36103","Suffolk County, New York","20091","796","null","null","53514","1374","null","null","88263","null","1489","null","132766","null","2235","null","273587","8385","null","null","472172","24421","null","null",
"0500000US36105","Sullivan County, New York","11819","2001","null","null","30214","3250","null","null","51604","null","4543","null","81891","null","6265","null","182564","24152","null","null","330647","82119","null","null",
"0500000US36109","Tompkins County, New York","9642","1960","null","null","31547","4252","null","null","57800","null","4398","null","89804","null","7236","null","198697","18996","null","null","321719","45299","null","null",
"0500000US36111","Ulster County, New York","12306","1973","null","null","34719","2338","null","null","58565","null","2873","null","90575","null","4189","null","179561","14306","null","null","290687","48115","null","null",
"0500000US36113","Warren County, New York","13402","2311","null","null","33897","4176","null","null","57911","null","4422","null","85843","null","5519","null","186502","24306","null","null","346551","78077","null","null",
"0500000US36117","Wayne County, New York","14164","2138","null","null","33154","2456","null","null","50836","null","2682","null","77632","null","4740","null","156386","13894","null","null","253190","44892","null","null",
"0500000US36119","Westchester County, New York","15200","965","null","null","46364","1741","null","null","86909","null","2623","null","145412","null","3218","null","405820","17401","null","null","816362","52979","null","null",
"0500000US37001","Alamance County, North Carolina","9473","1249","null","null","23767","1692","null","null","39531","null","2308","null","66276","null","4076","null","140374","20605","null","null","238375","75514","null","null",
"0500000US37019","Brunswick County, North Carolina","9844","1488","null","null","27978","2291","null","null","46525","null","3342","null","75019","null","4554","null","161176","13749","null","null","271266","36738","null","null",
"0500000US37021","Buncombe County, North Carolina","12904","758","null","null","28553","1538","null","null","44719","null","1972","null","68664","null","3068","null","160869","19772","null","null","300453","71104","null","null",
"0500000US37023","Burke County, North Carolina","9747","1777","null","null","26086","3593","null","null","43819","null","3290","null","63944","null","4040","null","130321","15389","null","null","224449","45732","null","null",
"0500000US37025","Cabarrus County, North Carolina","14389","1721","null","null","34697","2995","null","null","57160","null","4190","null","89497","null","4982","null","180131","14369","null","null","295629","40260","null","null",
"0500000US37027","Caldwell County, North Carolina","9966","1594","null","null","24688","2759","null","null","39286","null","3546","null","58922","null","4631","null","120758","21274","null","null","205709","76331","null","null",
"0500000US37031","Carteret County, North Carolina","12285","1476","null","null","29933","3147","null","null","51505","null","3589","null","78839","null","4337","null","183590","19153","null","null","356466","61985","null","null",
"0500000US37035","Catawba County, North Carolina","10191","1277","null","null","26450","2177","null","null","41405","null","2345","null","65141","null","3522","null","153549","16026","null","null","289357","55555","null","null",
"0500000US37037","Chatham County, North Carolina","14234","2353","null","null","33019","4188","null","null","55567","null","5672","null","94832","null","9817","null","216483","32207","null","null","371317","102407","null","null",
"0500000US37045","Cleveland County, North Carolina","6910","1657","null","null","23645","2626","null","null","38801","null","3060","null","59804","null","4383","null","131519","17187","null","null","233815","58795","null","null",
"0500000US37049","Craven County, North Carolina","13153","1675","null","null","31233","3354","null","null","48757","null","3441","null","72228","null","4641","null","148155","12734","null","null","250715","37111","null","null",
