"GEO_ID","NAME","B19083_001E","B19083_001M","B19083_001MA","B19083_001EA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index","Annotation of Estimate!!Gini Index",
"0500000US19049","Dallas County, Iowa","0.4415","0.0292","null","null",
"0500000US19061","Dubuque County, Iowa","0.4187","0.0225","null","null",
"0500000US19103","Johnson County, Iowa","0.4863","0.0368","null","null",
"0500000US19113","Linn County, Iowa","0.4376","0.0203","null","null",
"0500000US19153","Polk County, Iowa","0.4500","0.0151","null","null",
"0500000US19155","Pottawattamie County, Iowa","0.4008","0.0182","null","null",
"0500000US19163","Scott County, Iowa","0.4423","0.0223","null","null",
"0500000US19169","Story County, Iowa","0.4818","0.0353","null","null",
"0500000US19193","Woodbury County, Iowa","0.4381","0.0313","null","null",
"0500000US20015","Butler County, Kansas","0.3996","0.0297","null","null",
"0500000US20045","Douglas County, Kansas","0.5017","0.0365","null","null",
"0500000US20091","Johnson County, Kansas","0.4523","0.0192","null","null",
"0500000US20103","Leavenworth County, Kansas","0.4189","0.0326","null","null",
"0500000US20161","Riley County, Kansas","0.4680","0.0363","null","null",
"0500000US20173","Sedgwick County, Kansas","0.4641","0.0123","null","null",
"0500000US20177","Shawnee County, Kansas","0.4438","0.0222","null","null",
"0500000US20209","Wyandotte County, Kansas","0.4264","0.0199","null","null",
"0500000US21015","Boone County, Kentucky","0.4368","0.0358","null","null",
"0500000US21029","Bullitt County, Kentucky","0.3664","0.0278","null","null",
"0500000US21037","Campbell County, Kentucky","0.4774","0.0343","null","null",
"0500000US21047","Christian County, Kentucky","0.4036","0.0298","null","null",
"0500000US21059","Daviess County, Kentucky","0.4653","0.0275","null","null",
"0500000US21067","Fayette County, Kentucky","0.5052","0.0214","null","null",
"0500000US21093","Hardin County, Kentucky","0.4206","0.0193","null","null",
"0500000US21111","Jefferson County, Kentucky","0.4773","0.0095","null","null",
"0500000US21117","Kenton County, Kentucky","0.4453","0.0199","null","null",
"0500000US21145","McCracken County, Kentucky","0.5792","0.0642","null","null",
"0500000US21151","Madison County, Kentucky","0.4548","0.0321","null","null",
"0500000US21195","Pike County, Kentucky","0.5096","0.0432","null","null",
"0500000US21227","Warren County, Kentucky","0.4825","0.0283","null","null",
"0500000US22005","Ascension Parish, Louisiana","0.4089","0.0344","null","null",
"0500000US22015","Bossier Parish, Louisiana","0.4478","0.0314","null","null",
"0500000US22017","Caddo Parish, Louisiana","0.4995","0.0229","null","null",
"0500000US22019","Calcasieu Parish, Louisiana","0.4737","0.0274","null","null",
"0500000US22033","East Baton Rouge Parish, Louisiana","0.4943","0.0161","null","null",
"0500000US22045","Iberia Parish, Louisiana","0.5086","0.0622","null","null",
"0500000US22051","Jefferson Parish, Louisiana","0.4466","0.0106","null","null",
"0500000US22055","Lafayette Parish, Louisiana","0.5113","0.0169","null","null",
"0500000US22057","Lafourche Parish, Louisiana","0.4639","0.0309","null","null",
"0500000US22063","Livingston Parish, Louisiana","0.4317","0.0264","null","null",
"0500000US22071","Orleans Parish, Louisiana","0.5636","0.0144","null","null",
"0500000US22073","Ouachita Parish, Louisiana","0.5100","0.0239","null","null",
"0500000US22079","Rapides Parish, Louisiana","0.4774","0.0269","null","null",
"0500000US22097","St. Landry Parish, Louisiana","0.5526","0.0407","null","null",
"0500000US22103","St. Tammany Parish, Louisiana","0.4647","0.0198","null","null",
"0500000US22105","Tangipahoa Parish, Louisiana","0.4905","0.0351","null","null",
"0500000US22109","Terrebonne Parish, Louisiana","0.4564","0.0201","null","null",
"0500000US23001","Androscoggin County, Maine","0.4275","0.0240","null","null",
"0500000US23003","Aroostook County, Maine","0.4766","0.0260","null","null",
"0500000US23005","Cumberland County, Maine","0.4685","0.0282","null","null",
"0500000US23011","Kennebec County, Maine","0.4269","0.0202","null","null",
"0500000US23019","Penobscot County, Maine","0.4481","0.0214","null","null",
"0500000US23031","York County, Maine","0.4127","0.0268","null","null",
"0500000US24001","Allegany County, Maryland","0.4426","0.0218","null","null",
"0500000US24003","Anne Arundel County, Maryland","0.4129","0.0143","null","null",
"0500000US24005","Baltimore County, Maryland","0.4558","0.0120","null","null",
"0500000US24009","Calvert County, Maryland","0.3525","0.0238","null","null",
"0500000US24013","Carroll County, Maryland","0.3902","0.0173","null","null",
"0500000US24015","Cecil County, Maryland","0.3950","0.0279","null","null",
"0500000US24017","Charles County, Maryland","0.3621","0.0186","null","null",
"0500000US24021","Frederick County, Maryland","0.4160","0.0189","null","null",
"0500000US24025","Harford County, Maryland","0.4234","0.0231","null","null",
"0500000US24027","Howard County, Maryland","0.3899","0.0128","null","null",
"0500000US24031","Montgomery County, Maryland","0.4667","0.0090","null","null",
"0500000US24033","Prince George's County, Maryland","0.3961","0.0064","null","null",
"0500000US24037","St. Mary's County, Maryland","0.3866","0.0250","null","null",
"0500000US24043","Washington County, Maryland","0.4388","0.0227","null","null",
"0500000US24045","Wicomico County, Maryland","0.4094","0.0210","null","null",
"0500000US24510","Baltimore city, Maryland","0.5192","0.0119","null","null",
"0500000US25001","Barnstable County, Massachusetts","0.4593","0.0211","null","null",
"0500000US25003","Berkshire County, Massachusetts","0.4710","0.0221","null","null",
"0500000US25005","Bristol County, Massachusetts","0.4470","0.0097","null","null",
"0500000US25009","Essex County, Massachusetts","0.4853","0.0130","null","null",
"0500000US25011","Franklin County, Massachusetts","0.4499","0.0508","null","null",
"0500000US25013","Hampden County, Massachusetts","0.4655","0.0124","null","null",
"0500000US25015","Hampshire County, Massachusetts","0.4760","0.0245","null","null",
"0500000US25017","Middlesex County, Massachusetts","0.4641","0.0064","null","null",
"0500000US25021","Norfolk County, Massachusetts","0.4755","0.0111","null","null",
"0500000US25023","Plymouth County, Massachusetts","0.4618","0.0129","null","null",
"0500000US25025","Suffolk County, Massachusetts","0.5392","0.0142","null","null",
"0500000US25027","Worcester County, Massachusetts","0.4601","0.0097","null","null",
"0500000US26005","Allegan County, Michigan","0.4000","0.0228","null","null",
"0500000US26017","Bay County, Michigan","0.4148","0.0196","null","null",
"0500000US26021","Berrien County, Michigan","0.4986","0.0223","null","null",
"0500000US26025","Calhoun County, Michigan","0.4363","0.0167","null","null",
"0500000US26037","Clinton County, Michigan","0.4268","0.0245","null","null",
"0500000US26045","Eaton County, Michigan","0.4066","0.0258","null","null",
"0500000US26049","Genesee County, Michigan","0.4554","0.0162","null","null",
"0500000US26055","Grand Traverse County, Michigan","0.4389","0.0342","null","null",
"0500000US26065","Ingham County, Michigan","0.4825","0.0226","null","null",
"0500000US26073","Isabella County, Michigan","0.4987","0.0282","null","null",
"0500000US26075","Jackson County, Michigan","0.4489","0.0253","null","null",
"0500000US26077","Kalamazoo County, Michigan","0.4696","0.0204","null","null",
"0500000US26081","Kent County, Michigan","0.4707","0.0167","null","null",
"0500000US26087","Lapeer County, Michigan","0.4097","0.0252","null","null",
"0500000US26091","Lenawee County, Michigan","0.4162","0.0295","null","null",
"0500000US26093","Livingston County, Michigan","0.3951","0.0148","null","null",
"0500000US26099","Macomb County, Michigan","0.4237","0.0086","null","null",
"0500000US26103","Marquette County, Michigan","0.4326","0.0234","null","null",
"0500000US26111","Midland County, Michigan","0.4600","0.0282","null","null",
"0500000US26115","Monroe County, Michigan","0.4113","0.0194","null","null",
"0500000US26121","Muskegon County, Michigan","0.4283","0.0185","null","null",
"0500000US26125","Oakland County, Michigan","0.4660","0.0072","null","null",
"0500000US26139","Ottawa County, Michigan","0.4237","0.0204","null","null",
"0500000US26145","Saginaw County, Michigan","0.4746","0.0213","null","null",
"0500000US26147","St. Clair County, Michigan","0.4207","0.0170","null","null",
"0500000US26155","Shiawassee County, Michigan","0.3746","0.0205","null","null",
