"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US29095","Jackson County, Missouri","12321","null","844","null","34494","1375","null","null","58019","null","1601","null","90343","2174","null","null","184398","6729","null","null","307035","null","21991","null",
"0500000US29097","Jasper County, Missouri","10639","null","2084","null","28030","2864","null","null","45005","null","3592","null","67761","4331","null","null","151632","20332","null","null","278599","null","64995","null",
"0500000US29099","Jefferson County, Missouri","18810","null","1852","null","42865","3538","null","null","68936","null","3417","null","96558","4441","null","null","169702","8287","null","null","243288","null","20127","null",
"0500000US29165","Platte County, Missouri","22536","null","2458","null","48592","4772","null","null","81089","null","6569","null","121064","7210","null","null","229110","20889","null","null","352707","null","52928","null",
"0500000US29183","St. Charles County, Missouri","26964","null","1717","null","58526","2367","null","null","89413","null","2649","null","125009","3596","null","null","234824","11076","null","null","373318","null","30959","null",
"0500000US29187","St. Francois County, Missouri","11423","null","1904","null","27967","3679","null","null","44302","null","4584","null","71701","5694","null","null","141413","25069","null","null","245076","null","78077","null",
"0500000US29189","St. Louis County, Missouri","16721","null","1091","null","43043","1343","null","null","70549","null","1688","null","111827","2738","null","null","273804","10684","null","null","518616","null","32900","null",
"0500000US29510","St. Louis city, Missouri","7810","null","962","null","25573","2283","null","null","46684","null","2632","null","74016","3306","null","null","168030","9388","null","null","282505","null","23317","null",
"0500000US30013","Cascade County, Montana","11625","null","2127","null","30693","3777","null","null","51395","null","4022","null","77704","5350","null","null","150395","17397","null","null","252179","null","58955","null",
"0500000US30029","Flathead County, Montana","18653","null","2585","null","40240","3267","null","null","62344","null","5114","null","88643","5764","null","null","183089","21871","null","null","318054","null","73034","null",
