"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US24033","Prince George's County, Maryland","22060","1663","null","null","58978","2247","null","null","95003","2650","null","null","140230","3398","null","null","257078","12296","null","null","389888","40497","null","null",
"0500000US24037","St. Mary's County, Maryland","20093","5288","null","null","71016","7136","null","null","114421","7148","null","null","171616","14393","null","null","322638","47674","null","null","543112","166501","null","null",
"0500000US24043","Washington County, Maryland","16031","2627","null","null","41691","4113","null","null","69782","4384","null","null","104609","5413","null","null","200514","17762","null","null","318958","53046","null","null",
"0500000US24045","Wicomico County, Maryland","18415","3907","null","null","48042","4663","null","null","73419","5478","null","null","106296","8304","null","null","265015","40499","null","null","510065","100886","null","null",
"0500000US24510","Baltimore city, Maryland","7410","922","null","null","30444","2165","null","null","55663","2643","null","null","92324","3563","null","null","217536","8941","null","null","378146","27465","null","null",
"0500000US25001","Barnstable County, Massachusetts","20288","2988","null","null","56645","3770","null","null","92441","4661","null","null","146749","6696","null","null","334427","31523","null","null","638932","101911","null","null",
"0500000US25003","Berkshire County, Massachusetts","15574","2282","null","null","40895","4233","null","null","73832","6787","null","null","115426","7736","null","null","287929","39053","null","null","576420","127654","null","null",
"0500000US25005","Bristol County, Massachusetts","14706","1326","null","null","44740","2305","null","null","81823","3566","null","null","128519","4199","null","null","258624","11000","null","null","416368","31355","null","null",
"0500000US25009","Essex County, Massachusetts","17638","1249","null","null","52813","2220","null","null","93618","2521","null","null","148018","3511","null","null","335376","11493","null","null","591893","34210","null","null",
"0500000US25011","Franklin County, Massachusetts","13989","2383","null","null","38483","4733","null","null","67509","4991","null","null","101090","6538","null","null","197752","14670","null","null","309669","36003","null","null",
"0500000US25013","Hampden County, Massachusetts","10484","1273","null","null","34140","2388","null","null","64259","3063","null","null","102017","4035","null","null","206276","9632","null","null","324103","23762","null","null",
"0500000US25015","Hampshire County, Massachusetts","14587","2481","null","null","47576","4512","null","null","83450","5264","null","null","125208","5818","null","null","259793","28828","null","null","456951","81855","null","null",
"0500000US25017","Middlesex County, Massachusetts","22432","1287","null","null","68573","2061","null","null","119022","2756","null","null","187971","3770","null","null","419752","14208","null","null","741715","39279","null","null",
"0500000US25021","Norfolk County, Massachusetts","23652","1723","null","null","67266","3152","null","null","116998","3899","null","null","188786","5627","null","null","447884","22660","null","null","822682","61454","null","null",
"0500000US25023","Plymouth County, Massachusetts","21698","2018","null","null","60824","3440","null","null","103770","4220","null","null","159790","5842","null","null","354027","24939","null","null","631588","71712","null","null",
"0500000US25025","Suffolk County, Massachusetts","10982","1072","null","null","42999","2408","null","null","85603","3270","null","null","143995","4656","null","null","360228","19458","null","null","671127","57641","null","null",
"0500000US25027","Worcester County, Massachusetts","16877","906","null","null","49309","1890","null","null","86033","2426","null","null","136453","3008","null","null","278305","13892","null","null","469821","46102","null","null",
"0500000US26005","Allegan County, Michigan","23380","2611","null","null","52432","3320","null","null","76579","3846","null","null","111930","6919","null","null","225515","14071","null","null","354649","35906","null","null",
"0500000US26017","Bay County, Michigan","12020","2223","null","null","33378","3039","null","null","55831","3674","null","null","88426","4929","null","null","180065","22480","null","null","310245","70148","null","null",
"0500000US26021","Berrien County, Michigan","13414","1704","null","null","36233","3022","null","null","61739","4004","null","null","98475","4478","null","null","209033","15448","null","null","349311","42506","null","null",
