"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US06077","San Joaquin County, California","15063","null","901","null","38592","null","1692","null","64483","2152","null","null","100844","2858","null","null","204503","9157","null","null","337513","29718","null","null",
"0500000US06079","San Luis Obispo County, California","15385","null","1998","null","43773","null","2843","null","72704","4236","null","null","113695","4945","null","null","237043","15648","null","null","400959","43345","null","null",
"0500000US06081","San Mateo County, California","25039","null","1839","null","74825","null","3331","null","125612","4225","null","null","199511","5438","null","null","455400","17727","null","null","810917","48886","null","null",
"0500000US06083","Santa Barbara County, California","17472","null","1652","null","46577","null","2706","null","78132","3393","null","null","120622","5181","null","null","290472","15719","null","null","544853","49384","null","null",
"0500000US06085","Santa Clara County, California","24964","null","1121","null","72907","null","2008","null","126964","2403","null","null","197313","3495","null","null","432681","11108","null","null","756623","33782","null","null",
"0500000US06087","Santa Cruz County, California","16467","null","2196","null","48585","null","4279","null","87112","5048","null","null","142024","7006","null","null","303853","19477","null","null","498356","56005","null","null",
"0500000US06089","Shasta County, California","11291","null","1875","null","33831","null","2869","null","56580","3400","null","null","89449","4889","null","null","168560","10261","null","null","254966","22217","null","null",
"0500000US06095","Solano County, California","21780","null","1830","null","55748","null","2459","null","85419","2890","null","null","121196","3930","null","null","229145","9443","null","null","353835","23621","null","null",
"0500000US06097","Sonoma County, California","18668","null","1369","null","48837","null","2087","null","81571","2938","null","null","125312","4281","null","null","267003","15238","null","null","476743","47646","null","null",
"0500000US06099","Stanislaus County, California","14380","null","1151","null","36002","null","2085","null","60245","2670","null","null","93465","3933","null","null","187755","9467","null","null","308775","26936","null","null",
