"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0500000US18085","Kosciusko County, Indiana","0.4059","null","0.0304","null",
"0500000US18089","Lake County, Indiana","0.4417","null","0.0125","null",
"0500000US18091","LaPorte County, Indiana","0.4591","null","0.0325","null",
"0500000US18095","Madison County, Indiana","0.4285","null","0.0214","null",
"0500000US18097","Marion County, Indiana","0.4779","null","0.0112","null",
"0500000US18105","Monroe County, Indiana","0.4616","null","0.0218","null",
"0500000US18109","Morgan County, Indiana","0.3997","null","0.0399","null",
"0500000US18127","Porter County, Indiana","0.4213","null","0.0170","null",
"0500000US18141","St. Joseph County, Indiana","0.4652","null","0.0179","null",
"0500000US18157","Tippecanoe County, Indiana","0.4720","null","0.0238","null",
"0500000US18163","Vanderburgh County, Indiana","0.4847","null","0.0438","null",
"0500000US18167","Vigo County, Indiana","0.4587","null","0.0224","null",
"0500000US18177","Wayne County, Indiana","0.4306","null","0.0387","null",
"0500000US19013","Black Hawk County, Iowa","0.4596","null","0.0246","null",
"0500000US19049","Dallas County, Iowa","0.4110","null","0.0262","null",
"0500000US19061","Dubuque County, Iowa","0.4424","null","0.0273","null",
"0500000US19103","Johnson County, Iowa","0.5070","null","0.0266","null",
"0500000US19113","Linn County, Iowa","0.4360","null","0.0176","null",
"0500000US19153","Polk County, Iowa","0.4317","null","0.0111","null",
"0500000US19155","Pottawattamie County, Iowa","0.4416","null","0.0290","null",
"0500000US19163","Scott County, Iowa","0.4657","null","0.0265","null",
"0500000US19169","Story County, Iowa","0.4559","null","0.0253","null",
"0500000US19193","Woodbury County, Iowa","0.4308","null","0.0285","null",
"0500000US20015","Butler County, Kansas","0.3771","null","0.0220","null",
"0500000US20045","Douglas County, Kansas","0.4592","null","0.0256","null",
"0500000US20091","Johnson County, Kansas","0.4588","null","0.0149","null",
"0500000US20103","Leavenworth County, Kansas","0.4465","null","0.0633","null",
"0500000US20161","Riley County, Kansas","0.4782","null","0.0358","null",
"0500000US20173","Sedgwick County, Kansas","0.4553","null","0.0132","null",
"0500000US20177","Shawnee County, Kansas","0.4817","null","0.0345","null",
"0500000US20209","Wyandotte County, Kansas","0.4234","null","0.0203","null",
"0500000US21015","Boone County, Kentucky","0.3775","null","0.0189","null",
"0500000US21029","Bullitt County, Kentucky","0.3926","null","0.0263","null",
"0500000US21037","Campbell County, Kentucky","0.4636","null","0.0335","null",
"0500000US21047","Christian County, Kentucky","0.5272","null","0.1114","null",
"0500000US21059","Daviess County, Kentucky","0.4421","null","0.0333","null",
"0500000US21067","Fayette County, Kentucky","0.4825","null","0.0191","null",
"0500000US21093","Hardin County, Kentucky","0.4789","null","0.0455","null",
"0500000US21111","Jefferson County, Kentucky","0.4853","null","0.0124","null",
"0500000US21117","Kenton County, Kentucky","0.4377","null","0.0168","null",
