"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US48215","Hidalgo County, Texas","8778","null","568","null","20990","null","1072","null","37973","1552","null","null","65942","2584","null","null","145248","null","7720","null","242385","null","26036","null",
"0500000US48231","Hunt County, Texas","11407","null","1987","null","32142","null","4269","null","55614","4270","null","null","84711","6803","null","null","178317","null","21470","null","288386","null","64685","null",
"0500000US48245","Jefferson County, Texas","10097","null","1358","null","27852","null","1861","null","47866","2385","null","null","77731","4101","null","null","174873","null","15167","null","313307","null","53736","null",
"0500000US48251","Johnson County, Texas","18491","null","2151","null","42709","null","3174","null","64038","3970","null","null","91295","4799","null","null","158913","null","10377","null","231854","null","21392","null",
"0500000US48257","Kaufman County, Texas","16545","null","3009","null","44120","null","3940","null","66776","4128","null","null","98800","6594","null","null","192899","null","20627","null","319658","null","68153","null",
"0500000US48291","Liberty County, Texas","13027","null","2458","null","27698","null","4098","null","45962","5508","null","null","69305","9415","null","null","132337","null","13441","null","198138","null","24951","null",
"0500000US48303","Lubbock County, Texas","8988","null","1306","null","26101","null","1541","null","47179","2721","null","null","80150","3857","null","null","180516","null","13697","null","327556","null","46101","null",
"0500000US48309","McLennan County, Texas","10050","null","1292","null","28975","null","2110","null","47714","2868","null","null","81561","4129","null","null","171081","null","11889","null","286557","null","37794","null",
"0500000US48329","Midland County, Texas","18022","null","3086","null","47328","null","4588","null","75660","5854","null","null","111595","7209","null","null","252829","null","33138","null","473393","null","92706","null",
"0500000US48339","Montgomery County, Texas","18418","null","1775","null","48218","null","2937","null","77724","3657","null","null","121927","5525","null","null","287728","null","24034","null","528397","null","75379","null",
"0500000US48347","Nacogdoches County, Texas","11103","null","2083","null","24625","null","3543","null","45548","5726","null","null","75791","9598","null","null","187167","null","38521","null","365943","null","113047","null",
"0500000US48355","Nueces County, Texas","11809","null","1053","null","30458","null","2003","null","52626","2582","null","null","85984","4353","null","null","186112","null","13111","null","317952","null","40088","null",
"0500000US48361","Orange County, Texas","15776","null","2771","null","34924","null","2830","null","58750","6728","null","null","93812","9981","null","null","191751","null","26403","null","286556","null","70716","null",
"0500000US48367","Parker County, Texas","21662","null","2417","null","49652","null","4021","null","76759","5489","null","null","117002","9019","null","null","226575","null","20452","null","358842","null","50681","null",
"0500000US48375","Potter County, Texas","9788","null","1769","null","26636","null","2449","null","44847","3107","null","null","65590","4074","null","null","151248","null","15148","null","271928","null","45448","null",
"0500000US48381","Randall County, Texas","18225","null","1962","null","40494","null","2771","null","63723","4318","null","null","97109","6232","null","null","200616","null","28564","null","367531","null","99982","null",
"0500000US48397","Rockwall County, Texas","23430","null","4232","null","60032","null","7945","null","95917","7276","null","null","135467","8880","null","null","263144","null","41936","null","469067","null","140834","null",
"0500000US48409","San Patricio County, Texas","12077","null","2365","null","27975","null","3529","null","51308","6336","null","null","86068","7691","null","null","181540","null","24446","null","295938","null","70368","null",
"0500000US48423","Smith County, Texas","11726","null","2013","null","32482","null","3039","null","53799","3922","null","null","82252","5484","null","null","182675","null","15514","null","299381","null","39430","null",
"0500000US48439","Tarrant County, Texas","16484","null","755","null","40934","null","1004","null","65585","1404","null","null","100457","1766","null","null","212557","null","5035","null","360714","null","13699","null",
"0500000US48441","Taylor County, Texas","12091","null","1947","null","30718","null","2777","null","51051","4245","null","null","84373","6408","null","null","171967","null","16730","null","285895","null","44815","null",
"0500000US48451","Tom Green County, Texas","13755","null","2174","null","32023","null","2713","null","51842","5263","null","null","81322","5879","null","null","179195","null","21261","null","324531","null","66547","null",
"0500000US48453","Travis County, Texas","17020","null","797","null","45305","null","1636","null","74351","1923","null","null","114837","2728","null","null","267853","null","11581","null","490144","null","35023","null",
"0500000US48469","Victoria County, Texas","14062","null","2265","null","32712","null","4146","null","53557","5909","null","null","86545","6889","null","null","163430","null","13448","null","247026","null","26666","null",
"0500000US48471","Walker County, Texas","3403","null","2752","null","23452","null","7005","null","41329","5343","null","null","65958","11318","null","null","139300","null","39344","null","239126","null","131396","null",
"0500000US48479","Webb County, Texas","7723","null","1336","null","24471","null","1992","null","42903","3074","null","null","69292","5389","null","null","141052","null","12566","null","224181","null","33431","null",
"0500000US48485","Wichita County, Texas","5953","null","1675","null","24521","null","2319","null","43262","3183","null","null","67962","3977","null","null","137040","null","12024","null","220383","null","35218","null",
"0500000US48491","Williamson County, Texas","23713","null","1597","null","52878","null","2124","null","82221","2518","null","null","120984","3055","null","null","231839","null","10904","null","377671","null","31220","null",
"0500000US48497","Wise County, Texas","12784","null","2530","null","34038","null","5196","null","59126","6637","null","null","95889","9220","null","null","178213","null","17549","null","286755","null","43519","null",
"0500000US49005","Cache County, Utah","14936","null","1926","null","34455","null","2104","null","53851","3462","null","null","82531","3653","null","null","157333","null","14798","null","273018","null","46633","null",
"0500000US49011","Davis County, Utah","25974","null","2020","null","56317","null","2332","null","80861","2584","null","null","111491","3495","null","null","204551","null","12065","null","322603","null","37529","null",
"0500000US49035","Salt Lake County, Utah","17927","null","1179","null","46497","null","1463","null","71653","1464","null","null","104836","1909","null","null","215776","null","8248","null","374263","null","24991","null",
"0500000US49045","Tooele County, Utah","24852","null","3259","null","47719","null","5342","null","72960","7416","null","null","103187","6983","null","null","155083","null","12765","null","211359","null","31423","null",
"0500000US49049","Utah County, Utah","19661","null","1160","null","45783","null","1469","null","70674","1862","null","null","103099","2229","null","null","198513","null","8036","null","325323","null","24496","null",
"0500000US49053","Washington County, Utah","15393","null","1752","null","35568","null","3049","null","55787","3961","null","null","84369","5196","null","null","199896","null","51878","null","397952","null","189468","null",
"0500000US49057","Weber County, Utah","16519","null","1615","null","40594","null","2336","null","62512","2366","null","null","88883","3704","null","null","168991","null","13859","null","277371","null","44652","null",
"0500000US50007","Chittenden County, Vermont","14950","null","1843","null","38569","null","3609","null","66019","4217","null","null","105384","5259","null","null","227246","null","19063","null","392791","null","53972","null",
"0500000US51003","Albemarle County, Virginia","18973","null","2812","null","46836","null","3658","null","76437","5827","null","null","122472","8477","null","null","261318","null","32770","null","461055","null","97126","null",
"0500000US51013","Arlington County, Virginia","26864","null","3117","null","74226","null","3774","null","116310","4799","null","null","173100","7240","null","null","365116","null","31294","null","644947","null","85973","null",
"0500000US51015","Augusta County, Virginia","13241","null","2795","null","34069","null","4393","null","58120","5118","null","null","83977","6071","null","null","173617","null","24568","null","308987","null","80815","null",
"0500000US51019","Bedford County, Virginia","16192","null","2659","null","41911","null","3958","null","65046","2899","null","null","91075","5930","null","null","177676","null","16526","null","279753","null","38470","null",
"0500000US51041","Chesterfield County, Virginia","23567","null","1742","null","51768","null","2590","null","81414","3745","null","null","115235","3582","null","null","228508","null","15446","null","388871","null","47212","null",
"0500000US51059","Fairfax County, Virginia","29159","null","1399","null","74215","null","1910","null","118006","2460","null","null","174035","3310","null","null","352360","null","10971","null","592462","null","35436","null",
"0500000US51061","Fauquier County, Virginia","28658","null","4352","null","65396","null","5603","null","98101","7926","null","null","145113","10233","null","null","264038","null","24016","null","390429","null","36133","null",
"0500000US51069","Frederick County, Virginia","20631","null","3957","null","49444","null","4398","null","75052","5869","null","null","105310","5941","null","null","185919","null","15997","null","285845","null","43911","null",
"0500000US51085","Hanover County, Virginia","22734","null","3448","null","58532","null","5450","null","89135","4479","null","null","124348","4959","null","null","239290","null","24576","null","413126","null","84101","null",
"0500000US51087","Henrico County, Virginia","17674","null","1729","null","41813","null","2299","null","67900","2767","null","null","105107","4026","null","null","230573","null","14037","null","403557","null","41817","null",
"0500000US51095","James City County, Virginia","21728","null","3509","null","52362","null","5735","null","87545","6254","null","null","124302","9792","null","null","246178","null","24707","null","380951","null","72993","null",
"0500000US51107","Loudoun County, Virginia","38550","null","2715","null","87929","null","4030","null","136188","3494","null","null","186510","4668","null","null","336875","null","20692","null","547893","null","70146","null",
"0500000US51121","Montgomery County, Virginia","7142","null","2713","null","30577","null","4668","null","56780","5988","null","null","91377","6930","null","null","187828","null","23692","null","309950","null","72321","null",
"0500000US51153","Prince William County, Virginia","31959","null","2452","null","69634","null","2723","null","101721","3355","null","null","149608","4257","null","null","268403","null","11472","null","412736","null","36830","null",
"0500000US51161","Roanoke County, Virginia","15542","null","3043","null","42758","null","3932","null","64863","3841","null","null","93951","5792","null","null","215779","null","30199","null","420324","null","95265","null",
"0500000US51165","Rockingham County, Virginia","16427","null","3199","null","38156","null","3435","null","58715","4215","null","null","84515","5535","null","null","169036","null","29182","null","309659","null","93200","null",
"0500000US51177","Spotsylvania County, Virginia","23991","null","2527","null","55186","null","4494","null","87498","4707","null","null","126225","5637","null","null","223039","null","13242","null","339454","null","34736","null",
"0500000US51179","Stafford County, Virginia","32911","null","3778","null","73437","null","5168","null","113687","5841","null","null","153903","6422","null","null","244207","null","12528","null","335078","null","29350","null",
"0500000US51199","York County, Virginia","27329","null","4754","null","58078","null","4856","null","84332","6247","null","null","124031","10935","null","null","219052","null","27416","null","333436","null","90559","null",
"0500000US51510","Alexandria city, Virginia","24164","null","3394","null","60129","null","4457","null","98447","4148","null","null","147346","6284","null","null","295061","null","19817","null","494879","null","64062","null",
"0500000US51550","Chesapeake city, Virginia","19413","null","2191","null","49768","null","3088","null","76462","3668","null","null","111454","3549","null","null","208408","null","18383","null","340327","null","65195","null",
"0500000US51650","Hampton city, Virginia","11830","null","2048","null","33700","null","2454","null","55220","4025","null","null","84725","4797","null","null","170053","null","18978","null","280918","null","63836","null",
"0500000US51680","Lynchburg city, Virginia","11296","null","2048","null","27881","null","2909","null","45052","3881","null","null","66483","4386","null","null","135991","null","15627","null","234627","null","41844","null",
"0500000US51700","Newport News city, Virginia","9893","null","1321","null","29437","null","2866","null","49577","3078","null","null","76648","4154","null","null","151325","null","14639","null","257773","null","49965","null",
"0500000US51710","Norfolk city, Virginia","9724","null","1094","null","28178","null","1730","null","49771","2168","null","null","78277","3559","null","null","179779","null","19459","null","336053","null","71002","null",
