"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US37125","Moore County, North Carolina","12826","1714","null","null","30896","null","2422","null","50495","4180","null","null","81725","6605","null","null","167767","16924","null","null","274776","42199","null","null",
"0500000US37127","Nash County, North Carolina","10740","1456","null","null","25084","null","2002","null","40019","3690","null","null","63122","4507","null","null","141518","23051","null","null","255699","80856","null","null",
"0500000US37129","New Hanover County, North Carolina","11254","1088","null","null","29569","null","2022","null","48448","2305","null","null","74568","3682","null","null","176714","17828","null","null","342431","60971","null","null",
"0500000US37133","Onslow County, North Carolina","11365","1438","null","null","28973","null","2352","null","44567","2734","null","null","62869","3551","null","null","123899","8959","null","null","193566","24245","null","null",
"0500000US37135","Orange County, North Carolina","11598","2043","null","null","37567","null","2903","null","59836","3191","null","null","101108","6557","null","null","250193","24442","null","null","451505","69706","null","null",
"0500000US37147","Pitt County, North Carolina","8238","1257","null","null","22539","null","1846","null","40474","2725","null","null","66277","3979","null","null","161225","16261","null","null","305962","54218","null","null",
"0500000US37151","Randolph County, North Carolina","10003","1229","null","null","24350","null","2106","null","40476","2909","null","null","64343","3571","null","null","116495","7353","null","null","174921","17010","null","null",
"0500000US37155","Robeson County, North Carolina","6113","879","null","null","16836","null","1360","null","29595","1966","null","null","47608","2511","null","null","97781","7515","null","null","156771","23195","null","null",
"0500000US37157","Rockingham County, North Carolina","8802","1462","null","null","22032","null","2365","null","40909","4165","null","null","64136","4174","null","null","114225","9512","null","null","181425","28960","null","null",
"0500000US37159","Rowan County, North Carolina","8210","1445","null","null","23423","null","2313","null","40761","2868","null","null","63179","3452","null","null","122515","8689","null","null","196134","27636","null","null",
