"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US39139","Richland County, Ohio","11562","null","1614","null","30747","null","3056","null","51306","null","3759","null","78642","null","5619","null","179392","null","24358","null","335701","82899","null","null",
"0500000US39141","Ross County, Ohio","9868","null","2149","null","27451","null","4375","null","50224","null","7412","null","91572","null","8696","null","183993","null","23599","null","312382","61506","null","null",
"0500000US39145","Scioto County, Ohio","7250","null","1982","null","21046","null","3102","null","40271","null","5055","null","71966","null","8867","null","146049","null","11450","null","215544","25059","null","null",
"0500000US39151","Stark County, Ohio","15172","null","1058","null","36666","null","1457","null","59519","null","2135","null","90910","null","2783","null","184011","null","9818","null","304105","28292","null","null",
"0500000US39153","Summit County, Ohio","13047","null","1113","null","36952","null","1670","null","62962","null","1908","null","99214","null","2775","null","222997","null","12050","null","398427","37888","null","null",
"0500000US39155","Trumbull County, Ohio","10527","null","1748","null","30803","null","2704","null","51757","null","3418","null","79450","null","3890","null","155779","null","11138","null","265277","35911","null","null",
"0500000US39157","Tuscarawas County, Ohio","15287","null","2551","null","35730","null","2775","null","57338","null","3869","null","86785","null","5533","null","179332","null","19136","null","292058","54239","null","null",
"0500000US39165","Warren County, Ohio","29419","null","2668","null","66018","null","3941","null","96791","null","5170","null","138293","null","7079","null","281856","null","25487","null","467536","82549","null","null",
"0500000US39169","Wayne County, Ohio","16638","null","2125","null","38853","null","3087","null","60760","null","3408","null","88658","null","4437","null","168090","null","12744","null","266548","37147","null","null",
"0500000US39173","Wood County, Ohio","13776","null","3202","null","39033","null","2781","null","63738","null","4028","null","102530","null","5426","null","204003","null","21984","null","353262","72239","null","null",
"0500000US40017","Canadian County, Oklahoma","20060","null","3078","null","49833","null","4031","null","74966","null","5175","null","109798","null","6329","null","194754","null","16735","null","305798","46721","null","null",
"0500000US40027","Cleveland County, Oklahoma","15712","null","1830","null","40600","null","2419","null","66638","null","3260","null","99793","null","3571","null","195752","null","15157","null","329030","48414","null","null",
"0500000US40031","Comanche County, Oklahoma","10437","null","1906","null","30802","null","2894","null","49846","null","3247","null","76510","null","5025","null","164160","null","18462","null","274351","58737","null","null",
