"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US30063","Missoula County, Montana","11224","1655","null","null","29232","null","3085","null","47507","null","3168","null","77047","null","5319","null","189540","null","23244","null","364430","null","74644","null",
"0500000US30111","Yellowstone County, Montana","16050","1297","null","null","36194","null","2087","null","58270","null","2976","null","87395","null","3828","null","175890","null","11342","null","279466","null","28409","null",
"0500000US31055","Douglas County, Nebraska","13040","864","null","null","36126","null","1333","null","59515","null","1860","null","94062","null","2165","null","202434","null","7104","null","347900","null","19582","null",
"0500000US31109","Lancaster County, Nebraska","13778","1418","null","null","33738","null","1578","null","58266","null","2220","null","87840","null","2811","null","186961","null","12397","null","337844","null","41545","null",
"0500000US31153","Sarpy County, Nebraska","21433","2277","null","null","48675","null","2920","null","74087","null","3011","null","106475","null","3535","null","191099","null","11181","null","291684","null","32117","null",
"0500000US32003","Clark County, Nevada","12770","600","null","null","33105","null","683","null","54470","null","986","null","83041","null","1368","null","177999","null","5341","null","315932","null","17502","null",
"0500000US32031","Washoe County, Nevada","14101","988","null","null","35602","null","1668","null","58448","null","2247","null","91187","null","2953","null","208482","null","15386","null","384613","null","45158","null",
"0500000US33005","Cheshire County, New Hampshire","14961","2169","null","null","34666","null","3120","null","55925","null","4627","null","83121","null","6151","null","176876","null","24667","null","290656","null","78150","null",
"0500000US33009","Grafton County, New Hampshire","13489","3403","null","null","36404","null","3724","null","62343","null","6021","null","100428","null","6157","null","252148","null","42651","null","476058","null","152756","null",
"0500000US33011","Hillsborough County, New Hampshire","17960","1601","null","null","46778","null","2209","null","76473","null","2463","null","112094","null","2904","null","212296","null","10294","null","341080","null","33613","null",
"0500000US33013","Merrimack County, New Hampshire","18298","1902","null","null","44792","null","2547","null","70991","null","3037","null","103024","null","3947","null","203661","null","15831","null","330939","null","43480","null",
"0500000US33015","Rockingham County, New Hampshire","23984","1972","null","null","53806","null","2387","null","83072","null","3608","null","125025","null","4896","null","243158","null","10874","null","382983","null","34451","null",
"0500000US33017","Strafford County, New Hampshire","21681","3067","null","null","47345","null","4128","null","71346","null","3866","null","96811","null","5728","null","204717","null","27925","null","346383","null","84687","null",
"0500000US34001","Atlantic County, New Jersey","13085","1102","null","null","33200","null","2103","null","57463","null","3057","null","93599","null","4418","null","190252","null","11670","null","313996","null","37861","null",
"0500000US34003","Bergen County, New Jersey","19017","1026","null","null","54757","null","1829","null","94144","null","2271","null","147458","null","3320","null","318681","null","9203","null","548129","null","28015","null",
"0500000US34005","Burlington County, New Jersey","21760","1237","null","null","51307","null","1885","null","80038","null","2816","null","121388","null","3701","null","252572","null","14204","null","429472","null","45351","null",
"0500000US34007","Camden County, New Jersey","13223","1187","null","null","37719","null","2139","null","66818","null","2501","null","104222","null","3302","null","219966","null","14531","null","370265","null","44952","null",
"0500000US34009","Cape May County, New Jersey","14603","1850","null","null","36204","null","3229","null","62547","null","4222","null","99749","null","5945","null","224280","null","25979","null","428501","null","86660","null",
"0500000US34011","Cumberland County, New Jersey","9475","1656","null","null","25937","null","3584","null","49430","null","5531","null","77917","null","4954","null","142900","null","10528","null","221498","null","28527","null",
"0500000US34013","Essex County, New Jersey","9702","650","null","null","28282","null","1397","null","54819","null","1981","null","98492","null","2884","null","268864","null","10940","null","515197","null","31862","null",
"0500000US34015","Gloucester County, New Jersey","18431","1770","null","null","47869","null","2689","null","79883","null","3384","null","118503","null","3396","null","212035","null","11416","null","318103","null","36403","null",
"0500000US34017","Hudson County, New Jersey","11969","924","null","null","36646","null","1579","null","64880","null","2075","null","108822","null","3512","null","259223","null","11552","null","453138","null","29274","null",
"0500000US34019","Hunterdon County, New Jersey","26664","3658","null","null","70905","null","5327","null","113978","null","6159","null","166997","null","9569","null","346967","null","35322","null","582204","null","83441","null",
"0500000US34021","Mercer County, New Jersey","14524","1471","null","null","44626","null","2732","null","78201","null","3100","null","124359","null","4764","null","296404","null","17765","null","540341","null","58142","null",
"0500000US34023","Middlesex County, New Jersey","18027","1029","null","null","49054","null","1887","null","82857","null","2524","null","125251","null","3307","null","238256","null","7576","null","370502","null","22164","null",
"0500000US34025","Monmouth County, New Jersey","18850","1306","null","null","51608","null","2304","null","90309","null","2987","null","141411","null","3910","null","299346","null","12334","null","519652","null","37495","null",
"0500000US34027","Morris County, New Jersey","25471","1955","null","null","65897","null","3310","null","108122","null","3459","null","163693","null","5248","null","352843","null","17671","null","609577","null","47021","null",
"0500000US34029","Ocean County, New Jersey","15344","880","null","null","36066","null","1368","null","62485","null","1999","null","98380","null","2574","null","200410","null","9724","null","334080","null","31205","null",
"0500000US34031","Passaic County, New Jersey","12566","919","null","null","34182","null","1964","null","62389","null","2641","null","103804","null","3643","null","217313","null","12981","null","357499","null","38927","null",
"0500000US34033","Salem County, New Jersey","12671","1840","null","null","32729","null","3966","null","54031","null","4315","null","85847","null","7964","null","183499","null","28670","null","306369","null","97942","null",
"0500000US34035","Somerset County, New Jersey","24021","2679","null","null","64569","null","3374","null","106307","null","3630","null","165604","null","5467","null","349882","null","16960","null","598942","null","51386","null",
"0500000US34037","Sussex County, New Jersey","23028","2654","null","null","58602","null","4032","null","88950","null","3830","null","128928","null","5594","null","248313","null","20214","null","408523","null","61897","null",
"0500000US34039","Union County, New Jersey","15909","1203","null","null","43482","null","1967","null","73284","null","2659","null","119298","null","3817","null","297801","null","14286","null","552746","null","43023","null",
"0500000US34041","Warren County, New Jersey","19588","1966","null","null","46437","null","3988","null","76410","null","5812","null","113850","null","4976","null","215278","null","16429","null","326890","null","38616","null",
"0500000US35001","Bernalillo County, New Mexico","11259","745","null","null","29285","null","1460","null","50486","null","1451","null","80314","null","1876","null","175616","null","7290","null","303950","null","24055","null",
"0500000US35005","Chaves County, New Mexico","8633","2014","null","null","20632","null","3326","null","39633","null","4530","null","63280","null","6769","null","135401","null","37740","null","245642","null","139093","null",
"0500000US35013","Doña Ana County, New Mexico","8844","1240","null","null","22069","null","2163","null","38819","null","2989","null","64486","null","4341","null","147423","null","18864","null","262849","null","56994","null",
"0500000US35025","Lea County, New Mexico","12648","1592","null","null","30113","null","5807","null","55146","null","5779","null","76238","null","5309","null","163078","null","23324","null","282327","null","64280","null",
"0500000US35031","McKinley County, New Mexico","4870","1396","null","null","16182","null","2042","null","31447","null","4044","null","55526","null","5111","null","111260","null","10393","null","167991","null","22705","null",
"0500000US35035","Otero County, New Mexico","10622","2153","null","null","25529","null","3401","null","42928","null","4733","null","66128","null","5842","null","188835","null","76807","null","443379","null","292777","null",
"0500000US35043","Sandoval County, New Mexico","12099","2209","null","null","37748","null","3506","null","58777","null","3732","null","90185","null","5968","null","167733","null","12761","null","253204","null","27182","null",
"0500000US35045","San Juan County, New Mexico","11973","1465","null","null","31508","null","2914","null","53375","null","4208","null","82917","null","4446","null","147472","null","12648","null","238064","null","43662","null",
"0500000US35049","Santa Fe County, New Mexico","12755","1690","null","null","36148","null","2237","null","58077","null","2589","null","92911","null","4587","null","211159","null","17396","null","383835","null","51034","null",
"0500000US35061","Valencia County, New Mexico","11991","2255","null","null","27035","null","3274","null","43420","null","4404","null","65607","null","5660","null","124702","null","16023","null","205596","null","40352","null",
"0500000US36001","Albany County, New York","13589","1197","null","null","36350","null","2139","null","61969","null","2905","null","98446","null","4248","null","206968","null","13875","null","346554","null","38451","null",
"0500000US36005","Bronx County, New York","7295","355","null","null","19981","null","735","null","37846","null","1201","null","63654","null","1763","null","138553","null","4740","null","232504","null","14877","null",
"0500000US36007","Broome County, New York","11622","1190","null","null","28897","null","2184","null","50254","null","2698","null","77686","null","4026","null","167736","null","13617","null","300090","null","44318","null",
"0500000US36009","Cattaraugus County, New York","10887","1422","null","null","28701","null","2497","null","46897","null","2674","null","71830","null","3782","null","130292","null","7836","null","197612","null","23947","null",
"0500000US36011","Cayuga County, New York","14797","2069","null","null","34822","null","2743","null","55316","null","3841","null","82505","null","4360","null","155437","null","14660","null","262605","null","52734","null",
"0500000US36013","Chautauqua County, New York","11285","969","null","null","25621","null","1816","null","42830","null","2685","null","68436","null","3748","null","129523","null","8952","null","200811","null","27968","null",
"0500000US36015","Chemung County, New York","11704","1679","null","null","28493","null","2939","null","52407","null","4257","null","82997","null","5074","null","161061","null","15638","null","257219","null","43339","null",
"0500000US36019","Clinton County, New York","12718","2376","null","null","32762","null","3780","null","54510","null","4479","null","81141","null","5664","null","144940","null","9625","null","208641","null","18220","null",
